期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
INFLAMMOPHARMACOLOGY	5.3	Q1	IMMUNOLOGY(SCIE);TOXICOLOGY(SCIE)	0925-4692	1568-5608	3
Influenza and Other Respiratory Viruses	4.2	Q1	INFECTIOUS DISEASES(SCIE);VIROLOGY(SCIE)	1750-2640	1750-2659	3
Innovation	25.7	Q1	MULTIDISCIPLINARY SCIENCES(ESCI)	2666-6758	2666-6758	1
Insights into Imaging	4.5	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1869-4101	1869-4101	2
Intensive and Critical Care Nursing	4.7	Q1	CRITICAL CARE MEDICINE(SCIE);NURSING(SCIE, SSCI)	0964-3397	1532-4036	2
INTENSIVE CARE MEDICINE	21.2	Q1	CRITICAL CARE MEDICINE(SCIE)	0342-4642	1432-1238	1
Intensive Care Medicine Experimental	3.1	Q2	CRITICAL CARE MEDICINE(ESCI)	2197-425X	2197-425X	3
Interdisciplinary Sciences-Computational Life Sciences	3.9	Q1	MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)	1913-2751	1867-1462	2
Interface Focus	4	Q1	BIOLOGY(SCIE)	2042-8898	2042-8901	3
Internal and Emergency Medicine	3.8	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1828-0447	1970-9366	3
International Braz J Urol	4.5	Q1	UROLOGY & NEPHROLOGY(SCIE)	1677-5538	1677-6119	3
INTERNATIONAL DENTAL JOURNAL	3.7	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0020-6539	1875-595X	2
INTERNATIONAL ENDODONTIC JOURNAL	7.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0143-2885	1365-2591	1
International Forum of Allergy & Rhinology	6.8	Q1	OTORHINOLARYNGOLOGY(SCIE)	2042-6976	2042-6984	2
International Immunopharmacology	4.7	Q1	IMMUNOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1567-5769	1878-1705	2
INTERNATIONAL JOURNAL FOR PARASITOLOGY	3.2	Q1	PARASITOLOGY(SCIE)	0020-7519	1879-0135	2
International Journal for Parasitology-Drugs and Drug Resistance	3.4	Q1	PARASITOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2211-3207	2211-3207	2
International Journal of Antimicrobial Agents	4.6	Q1	INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0924-8579	1872-7913	2
International Journal of Behavioral Nutrition and Physical Activity	5.5	Q1	NUTRITION & DIETETICS(SCIE);PHYSIOLOGY(SCIE)	N/A	1479-5868	1
International Journal of Biological Sciences	10	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	1449-2288	1449-2288	1
International Journal of Bipolar Disorders	3.5	Q1	PSYCHIATRY(SCIE)	2194-7511	2194-7511	3
INTERNATIONAL JOURNAL OF CANCER	4.7	Q1	ONCOLOGY(SCIE)	0020-7136	1097-0215	2
International Journal of Cardiology	3.2	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	0167-5273	1874-1754	2
International Journal of Chronic Obstructive Pulmonary Disease	3.1	Q2	RESPIRATORY SYSTEM(SCIE)	1178-2005	1178-2005	3
International Journal of Clinical and Health Psychology	4.4	Q1	PSYCHOLOGY, CLINICAL(SSCI)	1697-2600	2174-0852	2
International Journal of Clinical Pharmacy	3.2	Q2	PHARMACOLOGY & PHARMACY(SCIE)	2210-7703	2210-7711	3
INTERNATIONAL JOURNAL OF COMPUTER VISION	9.3	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	0920-5691	1573-1405	2
INTERNATIONAL JOURNAL OF DRUG POLICY	4.4	Q1	SUBSTANCE ABUSE(SSCI)	0955-3959	1873-4758	2
INTERNATIONAL JOURNAL OF EATING DISORDERS	4.3	Q1	NUTRITION & DIETETICS(SCIE);PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	0276-3478	1098-108X	2
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES	4.3	Q1	INFECTIOUS DISEASES(SCIE)	1201-9712	1878-3511	2
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS	3.7	Q2	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	0884-8173	1098-111X	3
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY	3.6	Q2	MICROBIOLOGY(SCIE);VIROLOGY(SCIE)	1438-4221	1618-0607	2
International Journal of Medical Sciences	3.2	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1449-1907	1449-1907	3
International Journal of Mental Health Nursing	3.3	Q1	NURSING(SCIE, SSCI);PSYCHIATRY(SCIE, SSCI)	1445-8330	1447-0349	2
International Journal of Mental Health Systems	3.8	Q1	PSYCHIATRY(SSCI)	1752-4458	1752-4458	2
International Journal of Microbiology	3.2	Q2	MICROBIOLOGY(ESCI)	1687-918X	1687-9198	3
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE	5.8	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1107-3756	1791-244X	2
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	4.9	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE)	1661-6596	1422-0067	3
International Journal of Nanomedicine	6.5	Q1	NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1178-2013	1178-2013	2
International Journal of Neonatal Screening	4	Q1	GENETICS & HEREDITY(ESCI);PEDIATRICS(ESCI)	N/A	2409-515X	2
International Journal of Neural Systems	6.4	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	0129-0657	1793-6462	1
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY	3.7	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE)	1461-1457	1469-5111	2
International Journal of Nursing Sciences	3.1	Q1	NURSING(ESCI)	N/A	2352-0132	1
INTERNATIONAL JOURNAL OF NURSING STUDIES	7.1	Q1	NURSING(SCIE, SSCI)	0020-7489	1873-491X	1
INTERNATIONAL JOURNAL OF OBESITY	3.8	Q2	ENDOCRINOLOGY & METABOLISM(SCIE);NUTRITION & DIETETICS(SCIE)	0307-0565	1476-5497	2
INTERNATIONAL JOURNAL OF ONCOLOGY	4.9	Q1	ONCOLOGY(SCIE)	1019-6439	1791-2423	3
International Journal of Oral Science	12.2	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1674-2818	2049-3169	1
International Journal of Pharmaceutics	5.2	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0378-5173	1873-3476	2
International Journal of Pharmaceutics-X	6.4	Q1	PHARMACOLOGY & PHARMACY(SCIE)	N/A	2590-1567	2
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS	6.5	Q1	ONCOLOGY(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0360-3016	1879-355X	1
International Journal of Sports Physiology and Performance	4.3	Q1	PHYSIOLOGY(SCIE);SPORT SCIENCES(SCIE)	1555-0265	1555-0273	2
International Journal of Stroke	8.7	Q1	CLINICAL NEUROLOGY(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	1747-4930	1747-4949	2
International Journal of Surgery	10.1	Q1	SURGERY(SCIE)	1743-9191	1743-9159	2
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE	3.1	Q2	INFECTIOUS DISEASES(SCIE);RESPIRATORY SYSTEM(SCIE)	1027-3719	1815-7920	3
INTERNATIONAL NURSING REVIEW	3.7	Q1	NURSING(SCIE, SSCI)	0020-8132	1466-7657	2
INTERNATIONAL REVIEW OF PSYCHIATRY	3.4	Q2	PSYCHIATRY(SSCI)	0954-0261	1369-1627	3
Intestinal Research	3.9	Q2	GASTROENTEROLOGY & HEPATOLOGY(ESCI)	1598-9100	1598-9100	3
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	4.7	Q1	OPHTHALMOLOGY(SCIE)	0146-0404	1552-5783	2
INVESTIGATIVE RADIOLOGY	8	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0020-9996	1536-0210	1
iScience	4.1	Q1	MULTIDISCIPLINARY SCIENCES(SCIE)	N/A	2589-0042	2
Italian Journal of Pediatrics	3.1	Q1	PEDIATRICS(SCIE)	1720-8424	1824-7288	3
IUBMB LIFE	3.2	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1521-6543	1521-6551	3
JACC-Basic to Translational Science	7.2	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2452-302X	2452-302X	1
JACC-Cardiovascular Imaging	15.2	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1936-878X	1876-7591	1
JACC-Cardiovascular Interventions	11.4	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1936-8798	1876-7605	1
JACC-Clinical Electrophysiology	7.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2405-500X	2405-5018	1
JACC-Heart Failure	11.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2213-1779	2213-1787	1
JACC: CardioOncology	12.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);ONCOLOGY(SCIE)	2666-0873	2666-0873	1
JACS Au	8.7	Q1	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	N/A	2691-3704	1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	55	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0098-7484	1538-3598	1
JAMA Cardiology	14.1	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2380-6583	2380-6591	1
JAMA Dermatology	11	Q1	DERMATOLOGY(SCIE)	2168-6068	2168-6084	1
JAMA Internal Medicine	23.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	2168-6106	2168-6114	1
JAMA Network Open	9.7	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	2574-3805	2574-3805	1
JAMA Neurology	21.3	Q1	CLINICAL NEUROLOGY(SCIE)	2168-6149	2168-6157	1
JAMA Oncology	20.1	Q1	ONCOLOGY(SCIE)	2374-2437	2374-2445	1
JAMA Ophthalmology	9.2	Q1	OPHTHALMOLOGY(SCIE)	2168-6165	2168-6173	1
JAMA Otolaryngology-Head & Neck Surgery	5.6	Q1	OTORHINOLARYNGOLOGY(SCIE);SURGERY(SCIE)	2168-6181	2168-619X	1
JAMA Pediatrics	18	Q1	PEDIATRICS(SCIE)	2168-6203	2168-6211	1
JAMA Psychiatry	17.1	Q1	PSYCHIATRY(SCIE, SSCI)	2168-622X	2168-6238	1
JAMA Surgery	14.9	Q1	SURGERY(SCIE)	2168-6254	2168-6262	1
Japanese Dental Science Review	6.6	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1882-7616	2213-6851	2
JCI Insight	6.1	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	N/A	2379-3708	1
JCO Oncology Practice	4.6	Q1	ONCOLOGY(SCIE)	2688-1527	2688-1535	2
JCO Precision Oncology	5.6	Q1	ONCOLOGY(SCIE)	N/A	2473-4284	2
JHEP Reports	7.5	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	N/A	2589-5559	1
JMIR Medical Informatics	3.8	Q2	MEDICAL INFORMATICS(SCIE)	N/A	2291-9694	3
JMIR Mental Health	5.8	Q1	PSYCHIATRY(SCIE)	2368-7959	2368-7959	2
JNCI-Journal of the National Cancer Institute	7.2	Q1	ONCOLOGY(SCIE)	0027-8874	1460-2105	1
JNCI Cancer Spectrum	4.1	Q2	ONCOLOGY(ESCI)	N/A	2515-5091	3
JOINT BONE SPINE	4.3	Q1	RHEUMATOLOGY(SCIE)	1297-319X	1778-7254	3
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT	3.8	Q1	DERMATOLOGY(SCIE)	1610-0379	1610-0387	2
Journal for ImmunoTherapy of Cancer	10.6	Q1	IMMUNOLOGY(SCIE);ONCOLOGY(SCIE)	N/A	2051-1426	1
Journal of Addiction Medicine	3.2	Q1	SUBSTANCE ABUSE(SCIE)	1932-0620	1935-3227	2
JOURNAL OF ADOLESCENCE	3.2	Q2	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0140-1971	1095-9254	2
JOURNAL OF ADVANCED NURSING	3.4	Q1	NURSING(SCIE, SSCI)	0309-2402	1365-2648	2
Journal of Advanced Research	13	Q1	MULTIDISCIPLINARY SCIENCES(SCIE)	2090-1232	2090-1224	1
JOURNAL OF AFFECTIVE DISORDERS	4.9	Q1	CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE, SSCI)	0165-0327	1573-2517	2
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	11.2	Q1	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	0091-6749	1097-6825	1
Journal of Allergy and Clinical Immunology-In Practice	6.6	Q1	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	2213-2198	2213-2201	1
JOURNAL OF ALZHEIMERS DISEASE	3.1	Q2	NEUROSCIENCES(SCIE)	1387-2877	1875-8908	3
Journal of Analysis and Testing	7	Q1	CHEMISTRY, ANALYTICAL(ESCI)	2096-241X	2509-4696	1
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY	3.6	Q2	INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0305-7453	1460-2091	2
JOURNAL OF ANXIETY DISORDERS	4.5	Q1	PSYCHIATRY(SSCI);PSYCHOLOGY, CLINICAL(SSCI)	0887-6185	1873-7897	2
JOURNAL OF APPLIED MICROBIOLOGY	3.2	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);MICROBIOLOGY(SCIE)	1364-5072	1365-2672	3
Journal of Applied Physiology	3.3	Q1	PHYSIOLOGY(SCIE);SPORT SCIENCES(SCIE)	8750-7587	1522-1601	2
JOURNAL OF ARCHAEOLOGICAL RESEARCH	4.1	Q1	ANTHROPOLOGY(SSCI);ARCHAEOLOGY(AHCI)	1059-0161	1573-7756	1
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH	4	Q2	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	1076-9757	1943-5037	3
JOURNAL OF AUTOIMMUNITY	7	Q1	IMMUNOLOGY(SCIE)	0896-8411	1095-9157	1
Journal of Behavioral Addictions	6.2	Q1	PSYCHIATRY(SCIE, SSCI)	2062-5871	2063-5303	2
JOURNAL OF BIOLOGICAL CHEMISTRY	3.9	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	N/A	1083-351X	2
Journal of Biological Engineering	6.5	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	1754-1611	1754-1611	2
JOURNAL OF BIOMEDICAL SCIENCE	12.1	Q1	CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1021-7770	1423-0127	1
JOURNAL OF BIOTECHNOLOGY	3.9	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0168-1656	1873-4863	2
JOURNAL OF BONE AND MINERAL RESEARCH	5.9	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0884-0431	1523-4681	1
Journal of Bone Oncology	3.5	Q2	ONCOLOGY(SCIE)	N/A	2212-1374	3
Journal of Bronchology & Interventional Pulmonology	3.2	Q2	RESPIRATORY SYSTEM(ESCI)	1944-6586	1948-8270	2
Journal of Cancer	3.2	Q2	ONCOLOGY(SCIE)	1837-9664	1837-9664	3
Journal of Cannabis Research	4.3	Q1	PHARMACOLOGY & PHARMACY(ESCI)	N/A	2522-5782	3
JOURNAL OF CARDIAC FAILURE	8.2	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1071-9164	1532-8414	2
Journal of Cardiopulmonary Rehabilitation and Prevention	3.1	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1932-7501	1932-751X	3
Journal of Cardiovascular Computed Tomography	5.8	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1934-5925	1934-5925	2
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE	6.1	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1097-6647	1532-429X	2
JOURNAL OF CATARACT AND REFRACTIVE SURGERY	3.2	Q1	OPHTHALMOLOGY(SCIE);SURGERY(SCIE)	0886-3350	1873-4502	3
JOURNAL OF CELL BIOLOGY	6.4	Q1	CELL BIOLOGY(SCIE)	0021-9525	1540-8140	1
Journal of Cell Communication and Signaling	3.9	Q2	CELL BIOLOGY(SCIE)	1873-9601	1873-961X	3
JOURNAL OF CELL SCIENCE	3.6	Q2	CELL BIOLOGY(SCIE)	0021-9533	1477-9137	3
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	4.2	Q2	CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1582-1838	1582-4934	3
JOURNAL OF CELLULAR PHYSIOLOGY	4	Q1	CELL BIOLOGY(SCIE);PHYSIOLOGY(SCIE)	0021-9541	1097-4652	3
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	4.5	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);HEMATOLOGY(SCIE);NEUROSCIENCES(SCIE)	0271-678X	1559-7016	2
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	7	Q1	PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0021-9630	1469-7610	1
JOURNAL OF CHROMATOGRAPHY A	4	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);CHEMISTRY, ANALYTICAL(SCIE)	0021-9673	1873-3778	2
Journal of Clinical and Translational Endocrinology	3.3	Q2	ENDOCRINOLOGY & METABOLISM(ESCI)	2214-6237	2214-6237	3
Journal of Clinical and Translational Hepatology	4.2	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2225-0719	2310-8819	3
Journal of Clinical Anesthesia	5.1	Q1	ANESTHESIOLOGY(SCIE)	0952-8180	1873-4529	2
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY	4.4	Q1	PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, DEVELOPMENTAL(SSCI)	1537-4416	1537-4424	1
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	5.1	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0021-972X	1945-7197	2
JOURNAL OF CLINICAL IMMUNOLOGY	5.7	Q1	IMMUNOLOGY(SCIE)	0271-9142	1573-2592	2
JOURNAL OF CLINICAL INVESTIGATION	13.6	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0021-9738	1558-8238	1
Journal of Clinical Lipidology	4.6	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1933-2874	1876-4789	3
JOURNAL OF CLINICAL MICROBIOLOGY	5.4	Q1	MICROBIOLOGY(SCIE)	0095-1137	1098-660X	2
JOURNAL OF CLINICAL NURSING	3.5	Q1	NURSING(SCIE, SSCI)	0962-1067	1365-2702	3
JOURNAL OF CLINICAL ONCOLOGY	41.9	Q1	ONCOLOGY(SCIE)	0732-183X	1527-7755	1
JOURNAL OF CLINICAL PERIODONTOLOGY	6.8	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0303-6979	1600-051X	1
JOURNAL OF CLINICAL PSYCHIATRY	4.6	Q1	PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY, CLINICAL(SSCI)	0160-6689	1555-2101	2
JOURNAL OF CLINICAL VIROLOGY	3.4	Q2	VIROLOGY(SCIE)	1386-6532	1873-5967	3
JOURNAL OF COMPUTATIONAL CHEMISTRY	4.8	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	0192-8651	1096-987X	3
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	5	Q1	PSYCHOLOGY, CLINICAL(SSCI)	0022-006X	1939-2117	1
JOURNAL OF CONTROLLED RELEASE	11.5	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0168-3659	1873-4995	1
Journal of Crohns & Colitis	8.7	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1873-9946	1876-4479	2
Journal of Cystic Fibrosis	6	Q1	RESPIRATORY SYSTEM(SCIE)	1569-1993	1873-5010	2
JOURNAL OF DENTAL RESEARCH	5.9	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0022-0345	1544-0591	1
Journal of Dental Sciences	3.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1991-7902	2213-8862	3
JOURNAL OF DENTISTRY	5.5	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0300-5712	1879-176X	2
JOURNAL OF DERMATOLOGICAL SCIENCE	4	Q1	DERMATOLOGY(SCIE)	0923-1811	1873-569X	3
Journal of Diabetes	3.7	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	1753-0393	1753-0407	3
JOURNAL OF DIABETES AND ITS COMPLICATIONS	3.1	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	1056-8727	1873-460X	3
Journal of Diabetes Research	3.4	Q2	ENDOCRINOLOGY & METABOLISM(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	2314-6745	2314-6753	3
Journal of Diabetes Science and Technology	3.7	Q2	ENDOCRINOLOGY & METABOLISM(ESCI)	1932-2968	1932-2968	3
JOURNAL OF DIGITAL IMAGING	3.8	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0897-1889	1618-727X	3
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	4.9	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1773-2247	2588-8943	3
Journal of Eating Disorders	4.5	Q1	NUTRITION & DIETETICS(SCIE);PSYCHIATRY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	2050-2974	2050-2974	2
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION	3.5	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0391-4097	1720-8386	2
JOURNAL OF ENDOCRINOLOGY	3.9	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0022-0795	1479-6805	3
JOURNAL OF ENDODONTICS	3.6	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	0099-2399	1878-3554	2
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY	5.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, MEDICINAL(SCIE)	1475-6366	1475-6374	2
Journal of Esthetic and Restorative Dentistry	4.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1496-4155	1708-8240	3
JOURNAL OF ETHNIC AND MIGRATION STUDIES	3.1	Q1	DEMOGRAPHY(SSCI);ETHNIC STUDIES(SSCI)	1369-183X	1469-9451	2
Journal of Evidence-Based Dental Practice	4	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1532-3382	1532-3390	3
Journal of Evidence Based Medicine	3.5	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1756-5383	1756-5391	2
Journal of Exercise Science & Fitness	3.5	Q1	SPORT SCIENCES(SCIE)	1728-869X	1728-869X	3
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH	12.8	Q1	ONCOLOGY(SCIE)	N/A	1756-9966	1
JOURNAL OF EXPERIMENTAL MEDICINE	10.6	Q1	IMMUNOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0022-1007	1540-9538	1
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL	3.5	Q1	PSYCHOLOGY, EXPERIMENTAL(SSCI)	0096-3445	1939-2222	1
Journal of Extracellular Vesicles	14.5	Q1	CELL BIOLOGY(SCIE)	N/A	2001-3078	1
Journal of Fungi	4	Q1	MICROBIOLOGY(SCIE);MYCOLOGY(SCIE)	N/A	2309-608X	2
JOURNAL OF GASTROENTEROLOGY	5.5	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0944-1174	1435-5922	1
JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	3.4	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0815-9319	1440-1746	3
Journal of Genetics and Genomics	7.1	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1673-8527	1873-5533	1
Journal of Ginseng Research	5.6	Q1	CHEMISTRY, MEDICINAL(SCIE);INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE)	1226-8453	2093-4947	2
Journal of Global Antimicrobial Resistance	3.2	Q2	INFECTIOUS DISEASES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2213-7165	2213-7173	3
JOURNAL OF HEAD TRAUMA REHABILITATION	3.3	Q1	CLINICAL NEUROLOGY(SCIE);REHABILITATION(SCIE, SSCI)	0885-9701	1550-509X	3
JOURNAL OF HEADACHE AND PAIN	7.9	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1129-2369	1129-2377	1
Journal of Hematology & Oncology	40.4	Q1	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	N/A	1756-8722	1
Journal of Hepatocellular Carcinoma	3.4	Q2	ONCOLOGY(SCIE)	N/A	2253-5969	3
JOURNAL OF HEPATOLOGY	33	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	0168-8278	1600-0641	1
JOURNAL OF HUMAN EVOLUTION	3.1	Q1	ANTHROPOLOGY(SSCI);EVOLUTIONARY BIOLOGY(SCIE)	0047-2484	1095-8606	1
JOURNAL OF HYPERTENSION	4.1	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	0263-6352	1473-5598	3
Journal of Imaging	3.3	Q2	IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY(ESCI)	N/A	2313-433X	3
JOURNAL OF IMMUNOLOGY	3.4	Q2	IMMUNOLOGY(SCIE)	0022-1767	1550-6606	3
Journal of Immunology Research	3.6	Q2	IMMUNOLOGY(SCIE)	2314-8861	2314-7156	3
JOURNAL OF INFECTION	11.9	Q1	INFECTIOUS DISEASES(SCIE)	0163-4453	1532-2742	2
JOURNAL OF INFECTIOUS DISEASES	4.5	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE)	0022-1899	1537-6613	2
Journal of Inflammation-London	4.1	Q2	IMMUNOLOGY(SCIE)	1476-9255	1476-9255	3
Journal of Inflammation Research	4.1	Q2	IMMUNOLOGY(SCIE)	N/A	1178-7031	3
